iter	RMSE
0	0.8951867214
1	0.894302746
2	0.8934168897
3	0.8926877129
4	0.8917310322
5	0.8908554852
6	0.8901650265
7	0.8893285872
8	0.8883120625
9	0.8875860064
10	0.8868338149
11	0.8861592161
12	0.8854627424
13	0.8848350358
14	0.8842452042
15	0.8835720888
16	0.8829593435
17	0.882120835
18	0.8814794527
19	0.8808560716
20	0.8803252409
21	0.8797362083
22	0.8791698575
23	0.87864716
24	0.878051674
25	0.8774236961
26	0.8767299346
27	0.8762158017
28	0.8754846158
29	0.8749369912
30	0.8742358059
31	0.8737010006
32	0.8731761716
33	0.8726112349
34	0.8720258137
35	0.8716004776
36	0.8712192096
37	0.8707112968
38	0.8701646469
39	0.8696262869
40	0.8691291146
41	0.8686565871
42	0.8683349775
43	0.8678706911
44	0.8675037801
45	0.8669886056
46	0.8665990753
47	0.8659673694
48	0.8655838532
49	0.8650057349
50	0.8645855467
51	0.8640094608
52	0.8634811855
53	0.8630383254
54	0.8625619243
55	0.8621417555
56	0.8617472579
57	0.8612684322
58	0.8609860047
59	0.8607190557
60	0.8604325342
61	0.8599794354
62	0.8596099762
63	0.8590367182
64	0.8586122495
65	0.8582723812
66	0.8580229133
67	0.8577875657
68	0.8574359278
69	0.8571164758
70	0.8568642291
71	0.8564628446
72	0.8559382181
73	0.8554503039
74	0.855137754
75	0.8547059125
76	0.8542549724
77	0.8539759511
78	0.8534845691
79	0.8530627141
80	0.8527186726
81	0.8525058425
82	0.8520934517
83	0.8516097873
84	0.8512647889
85	0.8509949702
86	0.8506969245
87	0.8503926504
88	0.8501206462
89	0.8497564282
90	0.8494790666
91	0.8492046487
92	0.8489217544
93	0.848711918
94	0.848345902
95	0.8479657518
96	0.8477875841
97	0.8476127732
98	0.8472037882
99	0.8468125428
100	0.8463716096
101	0.8461385202
102	0.8457963437
103	0.8453856165
104	0.8449158199
105	0.8446582748
106	0.8443637457
107	0.8440205822
108	0.8437709795
109	0.8435443559
110	0.8432193042
111	0.8428785322
112	0.8426244043
113	0.8423112015
114	0.8420486889
115	0.8417938465
116	0.8415830945
117	0.8412221832
118	0.8408178112
119	0.8404590228
120	0.8402491306
121	0.8399446186
122	0.8396856299
123	0.8395010853
124	0.8392871414
125	0.8390150927
126	0.8387690613
127	0.8384081937
128	0.8382061561
129	0.8379316542
130	0.8377335419
131	0.8375538764
132	0.8373270706
133	0.8370193096
134	0.8367757411
135	0.8364007339
136	0.8361071817
137	0.8357143375
138	0.8355023479
139	0.835053706
140	0.8346908991
141	0.8344401326
142	0.8341758817
143	0.8337755708
144	0.8335271433
145	0.8331974577
146	0.8328985407
147	0.8326262257
148	0.8322953271
149	0.832088944
150	0.8317131408
151	0.8314916717
152	0.8311317458
153	0.8307720082
154	0.8305518594
155	0.8303149594
156	0.830100941
157	0.8298895753
158	0.8295606494
159	0.8292205096
160	0.8289876816
161	0.8287363009
162	0.8283425439
163	0.8280500431
164	0.8276430272
165	0.8274066369
166	0.8270784485
167	0.8268882282
168	0.8266799984
169	0.8263941698
170	0.8259689376
171	0.8258317705
172	0.8255612201
173	0.8253572907
174	0.8251810835
175	0.8249606008
176	0.8247876904
177	0.8245351377
178	0.8242470348
179	0.8240343891
180	0.8237219432
181	0.8233516869
182	0.8231465801
183	0.8229050815
184	0.8227446211
185	0.8223528342
186	0.8221408038
187	0.8219454659
188	0.8216124035
189	0.8212737245
190	0.821111724
191	0.8209728487
192	0.8207442054
193	0.8204175417
194	0.8202012032
195	0.8198887497
196	0.8196351586
197	0.8192467271
198	0.8191288657
199	0.8189401221
200	0.8187212787
201	0.8184542649
202	0.8182141899
203	0.8180397989
204	0.8178713804
205	0.8176593
206	0.8174375665
207	0.8172338702
208	0.816994734
209	0.8167427677
210	0.816360953
211	0.816211212
212	0.8160253295
213	0.8157470106
214	0.8155273711
215	0.8151921448
216	0.8149196921
217	0.8147828218
218	0.8146027058
219	0.8143209494
220	0.8139901823
221	0.8138550355
222	0.8135770552
223	0.8134111752
224	0.813196152
225	0.812907078
226	0.8127473316
227	0.812593138
228	0.812389921
229	0.8121541204
230	0.8119044709
231	0.811779737
232	0.8115619376
233	0.8113990422
234	0.8111276809
235	0.8109704075
236	0.8107518919
237	0.8106238844
238	0.8103990795
239	0.8101025749
240	0.8099248969
241	0.8096746025
242	0.8094728422
243	0.8091712986
244	0.8089182332
245	0.8085732008
246	0.8082615923
247	0.8079705611
248	0.8077487438
249	0.8076061994
250	0.807366677
251	0.807025002
252	0.8068054421
253	0.8065382208
254	0.8063385896
255	0.8061671808
256	0.8060492088
257	0.8058390593
258	0.8056834348
259	0.8054533854
260	0.8053295762
261	0.8049807525
262	0.8048277506
263	0.8045573382
264	0.8044669392
265	0.8042943308
266	0.8041705546
267	0.8040122661
268	0.8037481161
269	0.8034775168
270	0.8032710382
271	0.803101627
272	0.8028595508
273	0.8025248934
274	0.8022373715
275	0.8018823957
276	0.8017114396
277	0.8013799593
278	0.8011427658
279	0.8009630866
280	0.8007724208
281	0.800626384
282	0.8004744817
283	0.8001958691
284	0.8000109184
285	0.7998043947
286	0.7996207737
287	0.7994427799
288	0.7991990519
289	0.7990507516
290	0.7988568051
291	0.7987425615
292	0.7984468805
293	0.7982067286
294	0.7978428272
295	0.7976245171
296	0.7973778086
297	0.7971360299
298	0.7969644488
299	0.7968060484
300	0.7965322827
301	0.79617243
302	0.7959250221
303	0.7957335991
304	0.7954835695
305	0.7953345072
306	0.7951620454
307	0.7950170166
308	0.7947154659
309	0.794573521
310	0.794412551
311	0.7942552734
312	0.7938917577
313	0.7936987726
314	0.7935847809
315	0.793434196
316	0.7932263251
317	0.7930450593
318	0.7927963064
319	0.7926842839
320	0.7924627764
321	0.7920818144
322	0.7918110009
323	0.7916050223
324	0.7913908946
325	0.7912469096
326	0.7910313789
327	0.7908644758
328	0.790644439
329	0.790532606
330	0.7902404052
331	0.7899324347
332	0.7896607279
333	0.7894858766
334	0.7892732669
335	0.7890839665
336	0.7888384458
337	0.7885930838
338	0.7883681415
339	0.7881254534
340	0.7879312073
341	0.7876735118
342	0.787509472
343	0.7873268629
344	0.7871491797
345	0.786890661
346	0.7866424057
347	0.7865063283
348	0.7863577065
349	0.7861573013
350	0.7859687401
351	0.7856734751
352	0.7855664227
353	0.7852773712
354	0.7851056187
355	0.7849640171
356	0.7848076555
357	0.7846405906
358	0.7843861401
359	0.784226713
360	0.7840720065
361	0.7839311694
362	0.7837831514
363	0.7835748656
364	0.7834441927
365	0.7831398144
366	0.7829993747
367	0.7827726804
368	0.7825957198
369	0.7823655716
370	0.7820323671
371	0.7819006073
372	0.781742111
373	0.7816116821
374	0.7812920669
375	0.7810132248
376	0.7808148499
377	0.7806319699
