iter	Passed	Remaining
0	3	1926
1	6	1650
2	9	1507
3	11	1477
4	14	1440
5	17	1420
6	20	1411
7	22	1389
8	24	1360
9	27	1337
10	29	1312
11	31	1300
12	34	1291
13	36	1277
14	38	1258
15	41	1245
16	43	1235
17	45	1221
18	47	1210
19	50	1204
20	52	1197
21	54	1192
22	57	1186
23	59	1182
24	61	1173
25	64	1169
26	66	1167
27	69	1165
28	71	1161
29	73	1159
30	76	1151
31	78	1146
32	80	1142
33	83	1140
34	86	1143
35	88	1138
36	90	1134
37	92	1129
38	95	1124
39	97	1121
40	100	1120
41	102	1118
42	104	1112
43	106	1108
44	109	1105
45	111	1099
46	113	1096
47	115	1091
48	118	1090
49	120	1085
50	122	1080
51	124	1076
52	127	1072
53	129	1071
54	132	1068
55	134	1065
56	136	1062
57	138	1058
58	141	1058
59	143	1054
60	146	1051
61	148	1047
62	150	1045
63	152	1041
64	155	1038
65	157	1034
66	159	1030
67	161	1027
68	163	1024
69	166	1021
70	168	1018
71	170	1016
72	173	1013
73	175	1011
74	177	1006
75	179	1003
76	182	1001
77	184	997
78	186	994
79	188	990
80	191	988
81	193	986
82	195	984
83	198	984
84	201	981
85	203	978
86	205	976
87	207	973
88	210	970
89	212	967
90	214	965
91	216	961
92	219	958
93	221	955
94	223	952
95	225	949
96	227	946
97	230	944
98	232	941
99	234	937
100	236	935
101	238	931
102	241	929
103	243	926
104	245	924
105	247	921
106	250	918
107	252	916
108	254	912
109	256	909
110	259	907
111	261	905
112	263	902
113	266	901
114	268	899
115	270	896
116	273	893
117	275	891
118	277	889
119	280	887
120	282	885
121	284	882
122	286	879
123	289	877
124	291	875
125	294	873
126	296	871
127	299	869
128	301	867
129	303	864
130	306	862
131	308	859
132	311	858
133	313	856
134	315	853
135	318	851
136	320	849
137	323	847
138	325	846
139	328	843
140	330	841
141	332	838
142	335	837
143	337	835
144	340	833
145	342	831
146	345	829
147	347	826
148	350	824
149	352	822
150	354	820
151	357	817
152	359	815
153	361	812
154	364	810
155	366	808
156	369	806
157	371	803
158	373	801
159	376	799
160	378	796
161	380	793
162	382	791
163	384	788
164	387	785
165	389	783
166	391	781
167	393	778
168	396	776
169	399	774
170	401	772
171	403	769
172	405	767
173	407	764
174	410	761
175	412	759
176	414	756
177	416	753
178	418	751
179	421	749
180	423	746
181	425	743
182	427	741
183	430	738
184	432	735
185	434	733
186	436	731
187	439	728
188	441	726
189	443	723
190	445	720
191	447	718
192	449	715
193	452	713
194	454	710
195	456	708
196	458	705
197	461	703
198	463	701
199	466	699
200	468	696
201	470	694
202	473	692
203	476	690
204	478	688
205	480	685
206	482	683
207	484	680
208	487	678
209	489	676
210	492	673
211	494	671
212	496	668
213	498	666
214	500	663
215	503	661
216	505	659
217	507	656
218	509	654
219	512	651
220	514	649
221	516	646
222	518	644
223	521	642
224	523	639
225	525	637
226	527	634
227	529	632
228	532	629
229	534	627
230	536	624
231	538	622
232	540	619
233	542	617
234	545	614
235	547	612
236	549	609
237	551	607
238	553	604
239	556	602
240	558	599
241	560	597
242	562	595
243	564	592
244	567	590
245	569	588
246	571	585
247	574	583
248	576	581
249	579	579
250	581	576
251	583	574
252	585	571
253	588	569
254	591	568
255	593	565
256	595	563
257	597	560
258	600	558
259	602	555
260	604	553
261	606	551
262	608	548
263	610	546
264	613	543
