iter	RMSE
0	0.8980059889
1	0.8971587005
2	0.8962702006
3	0.8955095684
4	0.8946093412
5	0.8937559483
6	0.8930263307
7	0.8921884459
8	0.8914705429
9	0.8907620324
10	0.8900443221
11	0.8893864255
12	0.8887174856
13	0.8879387458
14	0.8872991643
15	0.8865455251
16	0.8858962094
17	0.8851208395
18	0.8844290253
19	0.8839188749
20	0.8834136099
21	0.8828293266
22	0.8822582033
23	0.8817369247
24	0.8811389204
25	0.8805179156
26	0.8798799662
27	0.8793469025
28	0.8786221249
29	0.8779637657
30	0.8774355472
31	0.8768274076
32	0.8763735322
33	0.8757337436
34	0.8751733127
35	0.8746841137
36	0.8742986772
37	0.8737131856
38	0.8731404499
39	0.8727123264
40	0.8722345174
41	0.8718406148
42	0.8715516337
43	0.871200627
44	0.8708149581
45	0.8703744871
46	0.8700134915
47	0.8695178155
48	0.8692107425
49	0.868819494
50	0.8684524908
51	0.8678842973
52	0.8675840072
53	0.8671800296
54	0.8666975717
55	0.8662698065
56	0.8658972051
57	0.8655594268
58	0.8651553084
59	0.864796723
60	0.8643715036
61	0.8639158943
62	0.863601704
63	0.8629534992
64	0.8625346377
65	0.8621026673
66	0.8615198457
67	0.861175853
68	0.8608292897
69	0.8605180597
70	0.8601605761
71	0.859737125
72	0.8593579969
73	0.8589555536
74	0.8585668377
75	0.8582424413
76	0.8579635382
77	0.8576803496
78	0.8571893917
79	0.8568463224
80	0.8565464637
81	0.8563260787
82	0.8560945934
83	0.8556706628
84	0.8554270266
85	0.8551664513
86	0.8547985534
87	0.8545053914
88	0.8541945697
89	0.8539320287
90	0.8536550138
91	0.8532992587
92	0.8530681555
93	0.8528043198
94	0.8525470521
95	0.852320675
96	0.8520381585
97	0.8516809676
98	0.8512933895
99	0.8509412254
100	0.8504882518
101	0.8502241705
102	0.8498870011
103	0.8494561998
104	0.8490240205
105	0.8487682694
106	0.8484534955
107	0.8481525149
108	0.8477865289
109	0.8474741099
110	0.8471051852
111	0.8466996271
112	0.8464285526
113	0.8460359108
114	0.8458004454
115	0.8455130479
116	0.8451556399
117	0.8449045142
118	0.8444247688
119	0.8441954572
120	0.844004673
121	0.843631715
122	0.8434583222
123	0.8432825597
124	0.8429884325
125	0.8426284188
126	0.8424192351
127	0.8420621179
128	0.8417778753
129	0.8413475594
130	0.8409874283
131	0.8408158543
132	0.8404714285
133	0.8401017039
134	0.8398509659
135	0.8395204401
136	0.8392486118
137	0.8389310999
138	0.8387393002
139	0.8382795035
140	0.8379331575
141	0.8376146804
142	0.8372671474
143	0.8368179997
144	0.836531785
145	0.8362077165
146	0.8360591021
147	0.8357605072
148	0.8354746607
149	0.8352638507
150	0.8350382943
151	0.834771883
152	0.83443629
153	0.8341672098
154	0.8338119772
155	0.8335350259
156	0.8333874786
157	0.8331280418
158	0.8328319891
159	0.8324412563
160	0.8321690043
161	0.8319022314
162	0.8317101367
163	0.8315367567
164	0.8311704683
165	0.8309634669
166	0.8306153752
167	0.8304149861
168	0.8302249258
169	0.8299800757
170	0.8297559234
171	0.8295814458
172	0.8294325176
173	0.8292240727
174	0.8290578654
175	0.8287683769
176	0.828646395
177	0.8283888853
178	0.8280666987
179	0.8278854952
180	0.8275738673
181	0.8271889619
182	0.8268512355
183	0.8265235085
184	0.8263626208
185	0.8260871122
186	0.8259145353
187	0.8256951007
188	0.8253583627
189	0.8251245638
190	0.8249309332
191	0.8247473881
192	0.8245411931
193	0.8242947743
194	0.8240828341
195	0.8237841393
196	0.8235388791
197	0.8231462775
198	0.822849614
199	0.8226569099
200	0.8223859241
201	0.8221016255
202	0.8217328623
203	0.8215121319
204	0.821257906
205	0.8211069916
206	0.820908433
207	0.8206617346
208	0.8204013105
209	0.8201808383
210	0.8199308515
211	0.8197669072
212	0.8195794951
213	0.8192840355
214	0.8189623906
215	0.8186262696
216	0.8183615496
217	0.8181944202
218	0.8180018092
219	0.8177222263
220	0.8174701451
221	0.8173305531
222	0.8170801714
223	0.8169024012
224	0.8167013121
225	0.816456158
226	0.816269477
227	0.8160488986
228	0.8159025231
229	0.8156647187
230	0.8153635729
231	0.8151977142
232	0.8150186611
233	0.8148330766
234	0.8147252226
235	0.8144614949
236	0.8142359057
237	0.8141192749
238	0.8138842381
239	0.8134374802
240	0.8132681337
241	0.8130654992
242	0.8128639229
243	0.8125437481
244	0.8122040103
245	0.8118433918
246	0.8115352853
247	0.8112686092
248	0.8110781394
249	0.8108926262
250	0.8105612419
251	0.8101875337
252	0.8099443848
253	0.8096861086
254	0.8094701845
255	0.8093037806
256	0.809115144
257	0.8089228823
258	0.808516464
259	0.8083010646
260	0.8080654413
261	0.8077459239
262	0.8075496898
263	0.8072652242
264	0.8071633968
265	0.8070269575
266	0.8068227298
267	0.8066869351
268	0.806380977
269	0.806071754
270	0.8058798895
271	0.8057111992
272	0.8054867852
273	0.8052313382
274	0.8049724965
275	0.804747777
276	0.8045467791
277	0.804412121
278	0.8042189902
279	0.8040382043
280	0.8037826981
281	0.803435004
282	0.8031047372
283	0.8028239051
284	0.8026394881
285	0.8024314923
286	0.8021492126
287	0.8019781341
288	0.8018055945
289	0.8016902708
290	0.8015078099
291	0.8012962015
292	0.8009341772
293	0.8006886613
294	0.8004501892
295	0.8000915124
296	0.7998700857
297	0.7996331321
298	0.7994367343
299	0.7993055424
300	0.799113465
301	0.7988742524
302	0.7985978553
303	0.7984062882
304	0.798089457
305	0.7978527068
306	0.7976696239
307	0.7975292924
308	0.7973038661
309	0.7970891579
310	0.7968810257
311	0.7966404631
312	0.7963544527
313	0.7961594285
314	0.7959893809
315	0.7958842071
316	0.7956677417
317	0.7955133747
318	0.7953867262
319	0.7952649788
320	0.7950870411
321	0.79485581
322	0.7945855461
323	0.7944450739
324	0.7941707034
325	0.7940212124
326	0.7937423322
327	0.7935637573
328	0.7933274222
329	0.7931394806
330	0.7928247992
331	0.7926807882
332	0.7924541779
333	0.79221555
334	0.7919888177
335	0.7917969205
336	0.7916062759
337	0.791356387
338	0.7911206137
339	0.7908836914
340	0.7906675628
341	0.7902945075
342	0.7900776506
343	0.789833589
344	0.789689151
345	0.7893959113
346	0.7891596891
347	0.7889483341
348	0.7887404549
349	0.7885812383
350	0.7883775642
351	0.7881928305
352	0.7880604669
353	0.7877892484
354	0.7876456613
355	0.7874920185
356	0.7872485412
357	0.7870760685
358	0.7869147632
359	0.7867199833
360	0.7865505152
361	0.7864266551
362	0.7862019265
363	0.7859864436
364	0.7858465813
365	0.7856677697
366	0.7855234494
367	0.7853176465
368	0.7850333334
369	0.7848351662
370	0.7845604294
371	0.7844784447
372	0.784326608
373	0.7842034893
374	0.7840113947
375	0.7837732028
376	0.7834857776
377	0.7832980494
378	0.7829684067
379	0.7827425939
380	0.7826209933
381	0.7825144283
382	0.7823316255
383	0.7820630033
384	0.7818146774
385	0.7816747157
386	0.7815482026
387	0.7812563439
388	0.7810855755
389	0.78075491
390	0.7805189018
391	0.7802730692
392	0.7800329634
393	0.7798073862
