iter	Passed	Remaining
0	2	1473
1	5	1325
2	7	1286
3	10	1300
4	12	1283
5	15	1265
6	17	1255
7	20	1241
8	22	1231
9	25	1226
10	28	1245
11	30	1237
12	32	1233
13	35	1225
14	37	1218
15	40	1214
16	42	1219
17	45	1215
18	47	1210
19	50	1203
20	52	1196
21	54	1192
22	57	1196
23	60	1196
24	62	1193
25	65	1189
26	67	1185
27	70	1182
28	72	1179
29	75	1181
30	77	1177
31	80	1175
32	82	1171
33	85	1169
34	87	1167
35	90	1168
36	93	1166
37	95	1163
38	98	1159
39	100	1156
40	103	1155
41	105	1153
42	108	1153
43	111	1154
44	113	1152
45	116	1149
46	119	1147
47	121	1145
48	124	1146
49	127	1143
50	129	1140
51	132	1138
52	134	1135
53	137	1132
54	140	1133
55	142	1129
56	144	1126
57	147	1122
58	149	1119
59	152	1115
60	154	1113
61	157	1110
62	159	1106
63	161	1103
64	164	1100
65	166	1096
66	169	1092
67	171	1091
68	174	1087
69	176	1084
70	178	1080
71	181	1077
72	183	1073
73	186	1071
74	188	1069
75	191	1066
76	193	1063
77	195	1060
78	198	1056
79	200	1053
80	203	1051
81	205	1048
82	208	1045
83	210	1043
84	213	1040
85	215	1036
86	217	1033
87	220	1032
88	222	1029
89	225	1026
90	227	1023
91	229	1019
92	232	1016
93	234	1014
94	237	1011
95	239	1008
96	242	1005
97	244	1002
98	246	998
99	249	996
100	251	994
101	254	991
102	256	988
103	258	986
104	261	983
105	263	980
106	266	977
107	268	975
108	271	972
109	273	970
110	276	967
111	278	965
112	281	963
113	284	961
114	286	959
115	289	956
116	291	953
117	293	951
118	296	948
119	299	947
120	301	945
121	304	942
122	306	940
123	309	937
124	311	935
125	314	932
126	316	930
127	319	928
128	322	926
129	324	923
130	327	921
131	329	918
132	332	916
133	334	914
134	337	911
135	339	909
136	342	906
137	344	903
138	347	901
139	349	899
140	352	896
141	354	893
142	356	891
143	359	888
144	361	885
145	364	883
146	367	881
147	369	879
148	372	876
149	374	874
150	377	872
151	380	870
152	382	867
153	385	865
154	387	863
155	390	860
156	392	858
157	396	857
158	398	855
159	401	852
160	403	850
161	406	847
162	408	845
163	411	843
164	414	841
165	416	838
166	419	836
167	421	833
168	424	831
169	427	829
170	429	826
171	432	824
172	435	822
173	437	819
174	439	817
175	442	814
176	445	812
177	447	810
178	450	807
179	453	805
180	456	803
181	458	801
182	461	799
183	463	796
184	466	793
185	468	790
186	470	788
187	473	785
188	475	782
189	478	780
190	481	778
191	483	775
192	486	773
193	488	770
194	491	768
195	493	765
196	496	763
197	498	760
198	501	758
199	503	755
200	506	752
201	508	750
202	510	747
203	513	744
204	515	742
205	518	739
206	520	736
207	522	734
208	525	731
209	527	729
210	530	726
211	532	723
212	536	722
213	540	721
214	543	720
215	546	718
216	548	715
217	551	713
218	553	710
219	557	709
220	559	706
221	562	704
222	565	702
223	567	699
224	570	697
225	573	695
226	576	693
227	578	690
228	581	688
229	584	685
230	586	683
231	590	681
232	592	679
233	595	676
234	597	674
235	600	671
236	602	669
237	605	666
238	608	664
239	610	661
240	613	659
241	616	656
242	618	654
243	621	651
244	623	649
245	626	647
246	633	648
247	636	646
248	642	647
249	646	646
250	653	648
251	657	646
252	660	644
253	664	643
254	667	641
255	671	639
256	674	638
257	678	636
258	682	634
259	686	633
260	690	632
261	694	630
262	697	628
263	701	627
264	704	624
265	707	621
266	709	619
267	712	616
268	715	614
269	718	611
270	720	608
271	723	606
272	726	603
273	728	601
274	731	598
275	734	595
276	737	593
277	739	590
278	742	588
279	745	585
280	747	582
281	750	580
282	753	577
283	756	575
284	759	572
285	761	569
286	764	567
287	767	564
288	770	562
289	772	559
290	775	556
291	777	554
292	780	551
293	783	548
294	786	546
295	788	543
296	791	541
297	794	538
298	797	536
299	800	533
300	802	530
301	805	527
302	808	525
303	810	522
304	813	520
305	816	517
306	819	515
307	821	512
308	824	509
309	827	506
310	829	504
311	832	501
312	835	498
313	837	496
314	840	493
315	843	491
316	846	488
317	848	485
318	851	483
319	853	480
320	856	477
321	859	475
322	862	472
323	864	469
324	867	466
325	869	464
326	872	461
327	874	458
328	877	456
329	880	453
330	882	450
331	885	448
332	888	445
333	891	442
334	893	440
335	896	437
336	899	434
337	901	432
338	904	429
339	907	427
340	910	424
341	913	421
342	915	419
343	919	416
344	921	414
345	924	411
346	927	409
347	930	406
348	933	403
349	936	401
350	938	398
351	942	396
352	944	393
353	947	390
354	951	388
355	953	385
356	957	383
357	959	380
358	962	378
359	965	375
360	968	372
361	970	370
362	973	367
363	976	364
364	979	362
365	982	359
366	984	356
367	987	354
368	990	351
369	993	348
370	995	346
371	998	343
372	1000	340
373	1003	338
374	1006	335
375	1009	332
376	1012	330
377	1014	327
378	1017	324
379	1020	322
380	1022	319
381	1025	316
382	1028	314
383	1030	311
384	1033	308
385	1036	306
386	1038	303
387	1041	300
388	1043	297
389	1046	295
390	1049	292
391	1052	289
392	1054	287
393	1057	284
394	1060	281
395	1062	279
396	1065	276
397	1068	273
398	1070	271
399	1073	268
400	1075	265
401	1078	262
402	1081	260
403	1083	257
404	1086	254
405	1089	252
406	1091	249
407	1094	246
408	1097	244
409	1099	241
410	1102	238
411	1105	236
412	1107	233
413	1110	230
414	1113	228
415	1116	225
416	1118	222
417	1121	220
418	1124	217
419	1127	214
420	1129	211
421	1132	209
422	1135	206
423	1138	203
424	1140	201
425	1143	198
426	1145	195
427	1148	193
428	1151	190
429	1153	187
430	1156	185
431	1159	182
432	1161	179
433	1165	177
434	1167	174
435	1170	171
436	1173	169
437	1175	166
438	1178	163
439	1180	161
440	1183	158
441	1186	155
442	1188	152
443	1191	150
444	1194	147
445	1197	144
446	1199	142
447	1202	139
448	1205	136
449	1207	134
450	1210	131
451	1212	128
452	1215	126
453	1218	123
454	1221	120
455	1223	118
456	1226	115
457	1229	112
458	1232	110
459	1234	107
460	1237	104
461	1239	101
462	1242	99
463	1245	96
464	1247	93
465	1250	91
466	1252	88
467	1255	85
468	1257	83
469	1260	80
470	1263	77
471	1266	75
472	1268	72
473	1271	69
474	1274	67
475	1276	64
476	1279	61
477	1282	59
478	1285	56
479	1287	53
480	1290	50
481	1293	48
482	1295	45
483	1298	42
484	1301	40
485	1304	37
486	1307	34
487	1311	32
488	1314	29
489	1317	26
490	1320	24
491	1324	21
492	1327	18
493	1331	16
494	1334	13
495	1338	10
496	1342	8
497	1345	5
498	1348	2
499	1351	0
